ZipCode,Population,Number of Households,Median Income,Average Income,Land Area (Sq. Miles),,,,,,,
95442,"3,143","1,365","144,129","256,748",24,,,,,,,
94922,726,187,"112,244","168,801",12,,,,,,,
94515,"7,525","2,772","85,263","165,466",106,,,,,,,
95441,"1,696",659,"111,198","141,612",102,,,,,,,
95448,"17,353","6,899","95,938","139,747",188,,,,,,,
94923,"1,185",545,"66,975","134,882",21,,,,,,,
94952,"35,198","13,834","92,314","131,389",180,,,,,,,
95492,"29,502","9,915","118,773","128,386",19,,,,,,,
95476,"37,150","15,591","87,374","125,265",112,,,,,,,
95472,"29,690","12,171","95,417","120,021",69,,,,,,,
95404,"38,462","15,647","86,555","118,799",80,,,,,,,
94954,"39,018","13,878","95,724","117,619",62,,,,,,,
95405,"22,875","8,955","94,411","114,468",5,,,,,,,
94951,"3,672","1,639","96,155","113,137",15,,,,,,,
95409,"26,739","12,031","77,849","112,960",38,,,,,,,
95425,"11,144","4,394","81,905","111,779",206,,,,,,,
95452,740,447,"92,094","103,682",14,,,,,,,
95497,"1,156",646,"78,125","101,855",16,,,,,,,
95436,"6,602","2,655","75,417","101,493",23,,,,,,,
94931,"9,097","3,400","85,698","100,991",6,,,,,,,
95401,"38,872","13,817","80,164","100,301",21,,,,,,,
95446,"4,951","2,443","75,035","99,209",33,,,,,,,
94928,"43,908","16,241","78,181","98,961",8,,,,,,,
95403,"44,716","15,871","79,990","97,436",22,,,,,,,
95465,"1,908",890,"65,357","94,134",42,,,,,,,
95450,223,119,"62,679","92,249",27,,,,,,,
95439,444,132,0,"91,283",3,,,,,,,
95421,"1,662",700,"61,691","85,495",217,,,,,,,
95407,"42,815","12,851","68,720","81,767",23,,,,,,,
95471,569,265,0,"75,678",1,,,,,,,
95412,485,189,"69,375","74,835",#N/A,,,,,,,
95462,"1,224",639,"45,417","68,883",6,,,,,,,
95444,357,168,"63,396","62,990",0,,,,,,,
95430,13,13,0,0,#N/A,,,,,,,
95431,121,0,0,0,#N/A,,,,,,,
95486,44,29,0,0,0,,,,,,,
